lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.001,4000,1e-05,5,0.6325,0.6325,0.6319824753559693
0.001,4000,1e-05,7,0.6075,0.6075,0.6041126891969413
0.01,2000,1e-07,3,0.62,0.62,0.6175523349436394
0.01,2000,1e-07,5,0.6175,0.6175,0.6157492575547338
0.01,2000,1e-07,7,0.585,0.585,0.5812205151492217
0.01,2000,1e-06,3,0.62,0.62,0.6178504085480829
0.01,2000,1e-06,5,0.6225,0.6225,0.6210196078431373
0.01,2000,1e-06,7,0.59,0.59,0.5854293586794408
0.01,2000,1e-05,3,0.61,0.61,0.607487922705314
0.01,2000,1e-05,5,0.625,0.625,0.6246621959763787
0.01,2000,1e-05,7,0.585,0.585,0.5803736191511413
0.01,3000,1e-07,3,0.605,0.605,0.6001619597125215
0.01,3000,1e-07,5,0.6175,0.6175,0.6157492575547338
0.01,3000,1e-07,7,0.5875,0.5875,0.583541036982818
0.01,3000,1e-06,3,0.62,0.62,0.6175523349436394
0.01,3000,1e-06,5,0.6225,0.6225,0.6210196078431373
0.01,3000,1e-06,7,0.59,0.59,0.5862660511112794
0.01,3000,1e-05,3,0.615,0.615,0.6140350877192982
0.01,3000,1e-05,5,0.62,0.62,0.6190476190476191
0.01,3000,1e-05,7,0.625,0.625,0.6238621831038893
0.01,4000,1e-07,3,0.625,0.625,0.6225845410628019
0.01,4000,1e-07,5,0.6225,0.6225,0.6207721430768941
0.01,4000,1e-07,7,0.5975,0.5975,0.5965898057492217
0.01,4000,1e-06,3,0.62,0.62,0.6175523349436394
0.01,4000,1e-06,5,0.6225,0.6225,0.6210196078431373
0.01,4000,1e-06,7,0.6125,0.6125,0.6065964885563995
0.01,4000,1e-05,3,0.6125,0.6125,0.6101585145781853
0.01,4000,1e-05,5,0.635,0.635,0.6340852130325815
0.01,4000,1e-05,7,0.5875,0.5875,0.5831201561404507
0.1,2000,1e-07,3,0.635,0.635,0.6340852130325815
0.1,2000,1e-07,5,0.63,0.63,0.6290726817042607
0.1,2000,1e-07,7,0.6025,0.6025,0.5959313591573009
0.1,2000,1e-06,3,0.6575,0.6575,0.657497859361621
0.1,2000,1e-06,5,0.6375,0.6375,0.6373163914231579
0.1,2000,1e-06,7,0.5725,0.5725,0.5659870938267375
0.1,2000,1e-05,3,0.6025,0.6025,0.5964441398739839
0.1,2000,1e-05,5,0.615,0.615,0.614990374759369
0.1,2000,1e-05,7,0.6025,0.6025,0.5948399426660296
0.1,3000,1e-07,3,0.635,0.635,0.6336812525090325
0.1,3000,1e-07,5,0.6225,0.6225,0.6195874665407023
0.1,3000,1e-07,7,0.6175,0.6175,0.6116726628976072
0.1,3000,1e-06,3,0.635,0.635,0.632019356789999
0.1,3000,1e-06,5,0.6225,0.6225,0.6224410064072512
0.1,3000,1e-06,7,0.6,0.6,0.5980303487086724
0.1,3000,1e-05,3,0.615,0.615,0.613831841319993
0.1,3000,1e-05,5,0.6375,0.6375,0.6353095781537861
0.1,3000,1e-05,7,0.62,0.62,0.6124031007751938
0.1,4000,1e-07,3,0.605,0.605,0.5992288961038961
0.1,4000,1e-07,5,0.6475,0.6475,0.6429814844120905
0.1,4000,1e-07,7,0.6025,0.6025,0.5990695387408513
0.1,4000,1e-06,3,0.6175,0.6175,0.6166350327927386
0.1,4000,1e-06,5,0.6275,0.6275,0.6257950285990543
0.1,4000,1e-06,7,0.6175,0.6175,0.610664732713705
0.1,4000,1e-05,3,0.6125,0.6125,0.6101585145781853
0.1,4000,1e-05,5,0.635,0.635,0.6348539415766307
0.1,4000,1e-05,7,0.6125,0.6125,0.6055753828145378
